filename	promotion	nomination
28 John Hay	06:31, 9 August 2014	00:42, 30 July 2014
29 1940 Brocklesby mid-air collision	14:34, 8 August 2014	09:35, 1 July 2014
30 Battle of Öland	01:51, 8 August 2014	05:33, 7 July 2014
31 Mahan-class destroyer	23:02, 7 August 2014	Nominator(s):
32 Canis Major	23:49, 7 August 2014	19:19, 25 June 2014
33 U.S. Route 141	8 August 2014 (UTC)	01:25, 16 June 2014
34 Sesame Street international co-productions	23:42, 7 August 2014	22:22, 14 June 2014
35 Kangana Ranaut	23:33, 7 August 2014	15:30, 8 June 2014
36 Okęcie Airport incident	03:58, 1 August 2014	23:39, 12 June 2014
37 2013 Rosario gas explosion	03:55, 1 August 2014	15:53, 10 June 2014
/July 2014
1 Ukiyo-e	08:49, 30 July 2014	05:20, 28 June 2014
2 Subway Sadie	10:04, 30 July 2014	
3 Hurricane Iris	10:31, 30 July 2014	03:44, 17 June 2014
4 HMS Indefatigable (R10)	09:44, 27 July 2014	00:31, 4 June 2014
5 Horatio Bottomley	06:47, 27 July 2014	20:23, 20 July 2014
6 Lewis and Clark Exposition dollar	06:45, 27 July 2014	17:02, 30 June 2014
7 Red Skelton	20:45, 25 July 2014	14:14, 7 July 2014
8 The FP	19:16, 25 July 2014	14:37, 7 June 2014
9 Falkland Islands	07:29, 19 July 2014	(UTC) & Wee Curry
10 2013 Atlantic hurricane season	05:57, 19 July 2014	21:33, 1 June 2014
11 South Carolina-class battleship	05:30, 19 July 2014	22:25, 25 April 2014
12 Jean Bellette	05:16, 16 July 2014	00:12, 26 June 2014
13 The Whistleblower	04:57, 16 July 2014	21:08, 25 June 2014
14 Snoring rail	05:11, 16 July 2014	06:36, 22 June 2014
15 Si Ronda	08:04, 15 July 2014	15:22, 9 July 2014
16 Drakengard	07:57, 15 July 2014	08:08, 4 June 2014
17 Winnipeg	16:47, 13 July 2014	03:12, 23 May 2014
18 Andrea Doria-class battleship	16:49, 13 July 2014	Sturmvogel 66 (talk) and
19 Flight Unlimited II	09:25, 12 July 2014	03:16, 19 June 2014
20 Mischief Makers	09:46, 12 July 2014	22:57, 25 May 2014
21 Freedom of Worship (painting)	09:27, 12 July 2014	14:34, 24 May 2014
22 Harta Berdarah	08:14, 9 July 2014	13:39, 25 June 2014
23 Blue men of the Minch	08:56, 9 July 2014	20:16, 10 January 2014
24 Fantastic Novels	08:58, 9 July 2014	06:26, 15 June 2014
25 Gemini (2002 Tamil film)	08:30, 9 July 2014	06:48, 29 May 2014
26 Queen Elizabeth Way	08:20, 9 July 2014	23:49, 26 May 2014
27 SS Arctic disaster	10:49, 2 July 2014	16:59, 23 June 2014
/June 2014
1 Head VI	12:01, 30 June 2014	
2 Cuban macaw	11:55, 30 June 2014	23:03, 10 June 2014
3 Anachronox	11:40, 30 June 2014	13 May 2014 (UTC),
4 Roy Phillipps	18:15, 29 June 2014	11:15, 25 May 2014
5 Judah P. Benjamin	05:56, 28 June 2014	13:09, 21 June 2014
6 The Blind Leading the Blind	04:45, 28 June 2014	08:11, 17 May 2014
7 Soeara Berbisa	13:23, 25 June 2014	03:48, 30 May 2014
8 Banksia coccinea	14:23, 25 June 2014	13:50, 17 May 2014
9 Hilda Rix Nicholas	13:20, 25 June 2014	05:15, 15 May 2014
10 Electra Heart	13:25, 25 June 2014	20:48, 13 May 2014
11 Royal baccarat scandal	08:42, 21 June 2014	20:49, 16 June 2014
12 Liberty Head double eagle	07:03, 21 June 2014	19:13, 31 May 2014
13 Israel the Grammarian	07:04, 21 June 2014	19:04, 29 May 2014
14 1988 Giro d'Italia	08:08, 21 June 2014	02:15, 27 April 2014
15 Paul Tibbets	07:24, 16 June 2014	
16 New York Dolls (album)	04:08, 15 June 2014	19:40, 18 May 2014
17 Vannevar Bush	04:09, 15 June 2014	22:50, 12 April 2014
18 SMS Wörth	04:10, 15 June 2014	18:30, 14 May 2014
19 Kelpie	04:11, 15 June 2014	20:16, 10 January 2014
20 Flotilla (video game)	109:11, 15 June 2014	
21 Pope Paul III and His Grandsons	08:34, 12 June 2014	10:29, 25 May 2014
22 John Tyler	08:51, 12 June 2014	04:24, 18 May 2014
23 Sesame Workshop	06:28, 11 June 2014	22:15, 27 April 2014
24 Hurricane Kate (1985)	11 June 2014 (UTC)	01:54, 22 April 2014
25 U.S. Route 31 in Michigan	11 June 2014 (UTC)	05:55, 14 April 2014
26 Russian battleship Peresvet	06:27, 7 June 2014	22:45, 20 April 2014
27 Greed (film)	6 June 2014 (UTC)	00:42, 29 March 2014
28 1880 Democratic National Convention	12:13, 4 June 2014	13:51, 1 May 2014
29 Kronan (ship)	at 13:48, 4 June	14:51, 15 April 2014
30 Sega CD	11:49, 4 June 2014	00:03, 30 March 2014
/May 2014
1 Union Films	13:29, 29 May 2014	08:13, 17 May 2014
2 Przevalski's nuthatch	13:29, 29 May 2014	03:08, 25 April 2014
3 Empress Matilda	13:29, 29 May 2014	16:49, 7 April 2014
4 Clackline Bridge	13:29, 29 May 2014	Nominator(s):
5 Gubby Allen	08:49, 25 May 2014	19:21, 19 May 2014
6 Invisible rail	08:49, 25 May 2014	09:18, 13 May 2014
7 Babe Ruth	08:49, 25 May 2014	00:25, 6 May 2014
8 Voting Rights Act of 1965	08:49, 25 May 2014	23:40, 20 April 2014
9 Deathrow (video game)	02:41, 25 May 2014	21:11, 19 April 2014
10 Tadeusz Kościuszko	02:41, 25 May 2014	17:17, 17 March 2014
11 No. 1 Flying Training School RAAF	16:41, 24 May 2014	04:54, 20 April 2014
12 Thorpe affair	16:29, 24 May 2014	18:33, 15 May 2014
13 Audie Murphy	16:29, 24 May 2014	12:24, 23 March 2014
14 Orel Hershiser's scoreless innings streak	16:29, 24 May 2014	13:52, 21 March 2014
15 Sgt. Pepper's Lonely Hearts Club Band	07:09, 23 May 2014	18:02, 15 May 2014
16 WINC (AM)	10:46, 18 May 2014	16:38, 27 April 2014
17 Marquee Moon	10:46, 18 May 2014	05:05, 26 April 2014
18 George Robey	07:30, 17 May 2014	09:01, 5 May 2014
19 Sultanate of Singora	07:30, 17 May 2014	15:42, 22 March 2014
20 A Contract with God	07:30, 17 May 2014	12:38, 30 March 2014
21 Grus (constellation)	07:30, 17 May 2014	07:08, 1 April 2014
22 Russian battleship Poltava (1894)	07:30, 17 May 2014	2014 (UTC) and Buggie111
23 Æthelred, Lord of the Mercians	07:30, 17 May 2014	16:37, 26 April 2014
24 Pather Panchali	07:30, 17 May 2014	18:18, 20 April 2014
25 Yellowhammer	12:29, 14 May 2014	06:45, 5 May 2014
26 D. Djajakusuma	06:51, 17 May 2014	00:32, 30 April 2014
27 Morchella rufobrunnea	12:29, 14 May 2014	16:44, 9 April 2014
28 Caelum	12:29, 14 May 2014	02:38, 1 April 2014
29 Warlugulong	12:29, 14 May 2014	01:09, 18 March 2014
30 Metalloid	12:29, 14 May 2014	specific definition has been
31 SMS Emden (1908)	15:06, 9 May 2014	09:55, 30 March 2014
32 Thopha saccata	15:05, 7 May 2014	19:16, 4 April 2014
33 Oliver Bosbyshell	19:35, 6 May 2014	18:17, 7 April 2014
34 Infinity Blade	10:55, 4 May 2014	05:01, 29 March 2014
35 Grand Theft Auto V	10:55, 4 May 2014	06:12, 11 March 2014
36 Ontario Highway 402	10:55, 4 May 2014	22:05, 7 March 2014
/April 2014
1 Enid Blyton	00:49, 1 May 2014	20:32, 17 April 2014
2 Eurasian Nuthatch	30 April 2014 (UTC)	15:57, 14 April 2014
3 Silverplate	14:59, 30 April 2014	05:55, 13 April 2014
4 Thomas F. Bayard	30 April 2014 (UTC)	01:06, 5 March 2014
5 A Cure for Pokeritis	30 April 2014 (UTC)	16:37, 8 April 2014
6 Mom & Me & Mom	26 April 2014 (UTC)	16:33, 19 March 2014
7 Operation Flavius	26 April 2014 (UTC)	
8 Jim Thome	26 April 2014 (UTC)	21:42, 7 March 2014
9 Mucho Macho Man	07:41, 19 April 2014	March 2014 (UTC), User:Tigerboy1966,
10 Cutthroat trout	30 April 2014 (UTC)	18:05, 17 March 2014
11 Menacer	09:07, 19 April 2014	04:19, 13 March 2014
12 Pokémon Channel	23 April 2014 (UTC)	18:53, 6 March 2014
13 Cyclone Joy	09:07, 19 April 2014	22:12, 23 February 2014
14 Arthur Gould (rugby union)	19 April 2014 (UTC)	and FruitMonkey (talk ·
15 Fulvous Whistling Duck	14 April 2014 (UTC)	10:25, 28 March 2014
16 Geology Hall	14 April 2014 (UTC)	02:13, 28 February 2014
17 Mirror symmetry (string theory)	13 April 2014 (UTC)	04:48, 7 March 2014
18 Finn M. W. Caspersen	19:24, 12 April 2014	16:00, 23 January 2014
19 Elwyn Roy King	13:52, 12 April 2014	16:52, 12 March 2014
20 Misterioso (Thelonious Monk album)	13:40, 12 April 2014	06:13, 6 March 2014
21 Zimbabwe women's national field hockey team at the 1980 Summer Olympics	16:00, 9 April 2014	20:09, 14 March 2014
22 Louisiana Purchase Exposition dollar	16:00, 9 April 2014	03:28, 9 March 2014
23 D'Oliveira affair	16:48, 5 April 2014	21:29, 28 March 2014
24 Imogen Holst	16:48, 5 April 2014	21:10, 26 March 2014
25 Peru national football team	16:48, 5 April 2014	01:19, 5 January 2014
26 Tjioeng Wanara	08:01, 1 April 2014	13:03, 22 March 2014
27 Musca	08:01, 1 April 2014	12:49, 26 February 2014
/March 2014
1 Horrible Histories (2009 TV series)	17:21, 29 March 2014	22:13, 25 February 2014
2 Goodman Beaver	29 March 2014 (UTC)	10:13, 22 February 2014
3 SMS Kaiser Wilhelm II	17:21, 29 March 2014	16:23, 22 February 2014
4 European Nightjar	13:24, 28 March 2014	15:28, 10 March 2014
5 Stockton and Darlington Railway	13:24, 28 March 2014	07:04, 25 February 2014
6 Spinning Around	13:24, 28 March 2014	18:32, 2 February 2014
7 Dishonored	28 March 2014 (UTC)	
8 Formula, Vol. 1	13:24, 28 March 2014	Nominator(s):
9 Battle of Caishi	13:24, 28 March 2014	15:41, 18 January 2014
10 Are You Experienced	10:31, 21 March 2014	Are You
11 Four Freedoms (Norman Rockwell)	28 March 2014 (UTC)	21:02, 14 January 2014
12 Poetry of Maya Angelou	19 March 2014 (UTC)	16:39, 23 January 2014
13 Fuck: Word Taboo and Protecting Our First Amendment Liberties	23:04, 17 March 2014	05:29, 9 March 2014
14 Pedro Afonso, Prince Imperial of Brazil	15 March 2014 (UTC)	20:49, 23 January 2014
15 Ian Smith	15 March 2014 (UTC)	13:52, 8 February 2014
16 Canadian drug charges and trial of Jimi Hendrix	14 March 2014 (UTC)	18:31, 24 February 2014
17 Bobby Peel	12 March 2014 (UTC)	19:29, 5 March 2014
18 Japanese battleship Nagato	12 March 2014 (UTC)	03:47, 23 February 2014
19 Ezra Pound	13 March 2014 (UTC)	Nominator(s): Victoria, Slim Virgin,
20 Great Eastern Highway	13 March 2014 (UTC)	Nominator(s):
21 Erschallet, ihr Lieder, erklinget, ihr Saiten! BWV 172	13 March 2014 (UTC)	17:15, 27 February 2014
22 Three-cent nickel	9 March 2014 (UTC)	02:30, 23 February 2014
23 2007 Appalachian State vs. Michigan football game	9 March 2014 (UTC)	21:55, 27 January 2014
24 Rainbow trout	9 March 2014 (UTC)	11:23, 23 January 2014
25 4 (Beyoncé album)	9 March 2014 (UTC)	Nominator(s):
26 E.W. Hornung	8 March 2014 (UTC)	13:35, 28 February 2014
27 Streatham portrait	8 March 2014 (UTC)	08:24, 28 February 2014
28 Sega 32X	8 March 2014 (UTC)	23:56, 8 February 2014
29 Æthelstan	8 March 2014 (UTC)	19:53, 14 January 2014
30 Ontario Highway 71	3 March 2014 (UTC)	20:30, 6 January 2014
31 No. 34 Squadron RAAF	2 March 2014 (UTC)	09:33, 6 January 2014
/February 2014
1 Drama dari Krakatau	27 February 2014 (UTC)	02:19, 13 February 2014
2 Tucana	27 February 2014 (UTC)	21:43, 13 January 2014
3 Typhoon Maemi	23 February 2014 (UTC)	Nominator(s): —
4 Japanese aircraft carrier Sōryū	23 February 2014 (UTC)	22:23, 31 January 2014
5 Wells Cathedral	23 February 2014 (UTC)	12:46, 27 December 2013
6 Gods' Man	22 February 2014 (UTC)	23:19, 22 January 2014
7 Thirty Flights of Loving	22 February 2014 (UTC)	Nominator(s): —
8 Profumo affair	22 February 2014 (UTC)	17:18, 12 February 2014
9 Gold dollar	22 February 2014 (UTC)	13:39, 23 January 2014
10 Interstate 470 (Ohio–West Virginia)	22 February 2014 (UTC)	17:25, 12 January 2014
11 Billy Joe Tolliver	22 February 2014 (UTC)	14:48, 21 December 2013
12 SMS Kurfürst Friedrich Wilhelm	17 February 2014 (UTC)	16:34, 25 December 2013
13 Josiah Willard Gibbs	17 February 2014 (UTC)	23:38, 25 December 2013
14 1924 Rose Bowl	17 February 2014 (UTC)	20:49, 29 December 2013
15 Carnotaurus	12 February 2014 (UTC)	18:37, 16 December 2013
16 Ralph Richardson	12 February 2014 (UTC)	20:49, 4 February 2014
17 Kenneth Horne	9 February 2014 (UTC)	22:17, 29 January 2014
18 Portrait Diptych of Dürer's Parents	9 February 2014 (UTC)	Nominator(s): Ceoil, Victoria,
19 Asmara Moerni	9 February 2014 (UTC)	00:15, 11 January 2014
/January 2014
1 Russian battleship Retvizan	31 January 2014 (UTC)	22:08, 5 January 2014
2 Armed Forces Special Weapons Project	31 January 2014 (UTC)	22:37, 13 December 2013
3 Newton's Parakeet	28 January 2014 (UTC)	17:19, 14 December 2013
4 Natchez revolt	26 January 2014 (UTC)	18:24, 3 January 2014
5 Abe Waddington	26 January 2014 (UTC)	19:58, 18 January 2014
6 St James' Church, Sydney	26 January 2014 (UTC)	07:31, 15 December 2013
7 Nancy Mitford	24 January 2014 (UTC)	15:42, 12 January 2014
8 The Coral Island	25 January 2014 (UTC)	20:16, 10 January 2014
9 Franklin Peale	25 January 2014 (UTC)	11:27, 2 January 2014
10 How Brown Saw the Baseball Game	25 January 2014 (UTC)	
11 A Song for Simeon	25 January 2014 (UTC)	05:45, 27 December 2013
12 Blue's Clues	25 January 2014 (UTC)	21:30, 10 December 2013
13 Early Netherlandish painting	20 January 2014 (UTC)	Nominators: Ceoil,
14 Hydrus	14 January 2014 (UTC)	19:52, 13 December 2013
15 Jin campaigns against the Song Dynasty	14 January 2014 (UTC)	11:54, 14 November 2013
16 James Hogun	14 January 2014 (UTC)	14:02, 9 December 2013
17 Charlie Chaplin	14 January 2014 (UTC)	17:32, 20 December 2013
18 Hugh Walpole	11 January 2014 (UTC)	12:24, 5 January 2014
19 Roekiah	12 January 2014 (UTC)	10:15, 2 January 2014
20 Perseus (constellation)	12 January 2014 (UTC)	04:44, 25 November 2013
21 Interstate 805	10 January 2014 (UTC)	04:07, 13 December 2013
22 Interstate 70 in West Virginia	10 January 2014 (UTC)	04:02, 13 December 2013
23 Tiruchirappalli	6 January 2014 (UTC)	14:03, 22 November 2013
24 William Hayden English	6 January 2014 (UTC)	14:00, 14 November 2013
25 Air Rhodesia Flight 825	6 January 2014 (UTC)	17:56, 17 December 2013
26 Jimi Hendrix	6 January 2014 (UTC)	21:23, 7 December 2013
27 Crocodilia	6 January 2014 (UTC)	06:28, 6 December 2013
28 Frank Headlam	5 January 2014 (UTC)	06:23, 26 November 2013
29 Hattie Jacques	3 January 2014 (UTC)	16 December 2013 (UTC)
30 Henry III of England	4 January 2014 (UTC)	16:55, 10 December 2013
31 Two-cent piece (United States coin)	4 January 2014 (UTC)	16:53, 7 December 2013
32 Waveguide filter	4 January 2014 (UTC)	17:30, 8 November 2013
33 McDonnell Douglas AV-8B Harrier II	2 January 2014 (UTC)	02:26, 27 November 2013
/December 2013
1 Interstate 296	31 December 2013 (UTC)	03:37, 18 December 2013
2 Japanese aircraft carrier Ryūjō	31 December 2013 (UTC)	17:44, 14 December 2013
3 The Carpet from Bagdad	31 December 2013 (UTC)	17:29, 26 November 2013
4 Ontario Highway 416	27 December 2013 (UTC)	05:11, 3 December 2013
5 Lieutenant Governor of New Jersey	27 December 2013 (UTC)	18:17, 23 November 2013
6 Jean-Joseph Rabearivelo	27 December 2013 (UTC)	14:00, 17 November 2013
7 Dredd	27 December 2013 (UTC)	18:36, 9 November 2013
8 Roxy Ann Peak	22 December 2013 (UTC)	
9 Mughal-e-Azam	22 December 2013 (UTC)	Bollyjeff (talk), Dr. Blofeld
10 Charles I of England	18 December 2013 (UTC)	08:49, 21 November 2013
11 Bohemian Waxwing	18 December 2013 (UTC)	11:43, 20 November 2013
12 Nigersaurus	18 December 2013 (UTC)	00:28, 11 November 2013
13 Sega Genesis	15 December 2013 (UTC)	16:46, 17 November 2013
14 U.S. Route 8	15 December 2013 (UTC)	04:35, 1 December 2013
15 Japanese battleship Asahi	15 December 2013 (UTC)	01:54, 1 December 2013
16 Florence Fuller	15 December 2013 (UTC)	11:24, 10 November 2013
17 2001–02 South-West Indian Ocean cyclone season	15 December 2013 (UTC)	Yellow Evan (talk ·
18 SMS Schleswig-Holstein	14 December 2013 (UTC)	21:04, 10 November 2013
19 Triangulum	14 December 2013 (UTC)	04:48, 9 November 2013
20 Stella Gibbons	8 December 2013 (UTC)	21:31, 27 November 2013
21 History of Chincoteague, Virginia	9 December 2013 (UTC)	17:35, 21 November 2013
22 Home (The X-Files)	9 December 2013 (UTC)	14:51, 3 November 2013
/November 2013
1 Weather Machine (sculpture)	11:43, 30 November 2013	04:27, 9 November 2013
2 Dromaeosauroides	11:43, 30 November 2013	17:14, 3 November 2013
3 Japanese battleship Mutsu	30 November 2013 (UTC).	19:12, 28 October 2013
4 No. 33 Squadron RAAF	25 November 2013 (UTC)	05:53, 4 November 2013
5 The Unnatural (The X-Files)	25 November 2013 (UTC)	14:53, 3 November 2013
6 Jethro Sumner	25 November 2013 (UTC)	13:33, 26 October 2013
7 Interstate 196	24 November 2013 (UTC)	20:56, 13 October 2013
8 Redback spider	26 November 2013 (UTC)	10:44, 5 October 2013
9 The Sinking of the Lusitania	26 November 2013 (UTC)	09:58, 5 October 2013
10 Spanish conquest of Petén	22 November 2013 (UTC)	20:42, 5 November 2013
11 Elgin, Illinois, Centennial half dollar	22 November 2013 (UTC)	04:25, 3 November 2013
12 Fuck (film)	22 November 2013 (UTC)	18:01, 2 November 2013
13 Paul Henderson	22 November 2013 (UTC)	01:13, 19 October 2013
14 Lionel Palairet	22 November 2013 (UTC)	14:28, 6 October 2013
15 Homer Davenport	19 November 2013 (UTC)	13:42, 3 November 2013
16 Melbourne Castle	19 November 2013 (UTC)	07:03, 2 November 2013
17 Fakih Usman	20 November 2013 (UTC)	22:48, 28 October 2013
18 AdS/CFT correspondence	17 November 2013 (UTC)	23:25, 5 October 2013
19 Michael Tippett	11 November 2013 (UTC)	18:56, 27 October 2013
20 Law school of Beirut	12 November 2013 (UTC)	16:02, 13 October 2013
21 Nefarious: Merchant of Souls	12 November 2013 (UTC)	03:35, 7 October 2013
22 Maurice Leyland	9 November 2013 (UTC)	19:21, 30 October 2013
23 Operation Crossroads	9 November 2013 (UTC)	09:58, 8 October 2013
24 Samuel Merrill Woodbridge	9 November 2013 (UTC)	05:23, 21 September 2013
25 Chalciporus piperatus	9 November 2013 (UTC)	06:01, 20 September 2013
26 2012–13 Michigan Wolverines men's basketball team	9 November 2013 (UTC)	08:19, 9 September 2013
27 Choiseul Pigeon	3 November 2013 (UTC)	13:40, 20 September 2013
28 Twenty-cent piece (United States coin)	3 November 2013 (UTC)	13:26, 5 October 2013
29 Albert Ball	3 November 2013 (UTC)	23:33, 30 September 2013
30 2011 Lamar Hunt U.S. Open Cup Final	3 November 2013 (UTC)	Nominator(s):
31 Jefferson Davis	3 November 2013 (UTC)	13:47, 26 September 2013
32 Volubilis	3 November 2013 (UTC)	07:30, 24 September 2013
33 Menominee Tribe v. United States	3 November 2013 (UTC)	00:32, 18 September 2013
34 Constance Stokes	3 November 2013 (UTC)	01:45, 18 September 2013
/October 2013
1 Japanese aircraft carrier Shinano	31 October 2013 (UTC)	07:06, 15 October 2013
2 European Storm Petrel	31 October 2013 (UTC)	10:34, 7 October 2013
3 Operation Tungsten	27 October 2013 (UTC)	00:53, 20 September 2013
4 Si Tjonat	27 October 2013 (UTC)	09:14, 10 October 2013
5 Niels Bohr	27 October 2013 (UTC)	10:05, 8 October 2013
6 Francis Nash	26 October 2013 (UTC)	02:22, 17 August 2013
7 Little Tich	19 October 2013 (UTC)	16:51, 6 October 2013
8 24th Waffen Mountain Division of the SS Karstjäger	19 October 2013 (UTC)	03:04, 3 September 2013
9 Japanese aircraft carrier Hiryū	19 October 2013 (UTC)	14:04, 28 August 2013
10 21st Waffen Mountain Division of the SS Skanderbeg (1st Albanian)	19 October 2013 (UTC)	Nominator(s): Peacemaker67 (talk ·
11 Pinniped	14 October 2013 (UTC)	19:35, 7 September 2013
12 Deepika Padukone	14 October 2013 (UTC)	Dr. Blofeld (talk ·
13 Great North of Scotland Railway	14 October 2013 (UTC)	05:21, 20 August 2013
14 No. 36 Squadron RAAF	15 October 2013 (UTC)	11:28, 30 September 2013
15 Regents of the University of California v. Bakke	15 October 2013 (UTC)	02:29, 28 September 2013
16 Cabbage	15 October 2013 (UTC)	19 September 2013 (UTC),
17 John Sherman	15 October 2013 (UTC)	16:14, 14 September 2013
18 U.S. Route 23 in Michigan	16 October 2013 (UTC)	02:19, 26 August 2013
19 L'Arianna	11 October 2013 (UTC)	20:26, 25 September 2013
20 God of War: Ghost of Sparta	11 October 2013 (UTC)	15:28, 31 August 2013
21 Enrico Fermi	8 October 2013 (UTC)	05:35, 14 August 2013
22 Mistle Thrush	7 October 2013 (UTC)	07:23, 14 September 2013
23 Fijación Oral, Vol. 1	7 October 2013 (UTC)	and Magiciandude (talk ·
24 509th Composite Group	7 October 2013 (UTC)	10:05, 16 August 2013
25 Malkin Tower	6 October 2013 (UTC)	20:18, 16 August 2013
26 Amir Hamzah	5 October 2013 (UTC)	00:37, 25 September 2013
27 Adam Eckfeldt	5 October 2013 (UTC)	22:16, 9 September 2013
28 Little Nemo (1911 film)	5 October 2013 (UTC)	07:45, 9 September 2013
29 Pavo (constellation)	5 October 2013 (UTC)	05:29, 9 September 2013
30 Sense and Sensibility (film)	5 October 2013 (UTC)	02:06, 24 August 2013
31 Sea	5 October 2013 (UTC)	19:06, 16 August 2013
/September 2013
1 Southern Rhodesia in World War I	29 September 2013 (UTC)	09:50, 23 August 2013
2 Hurricane Nadine (2012)	29 September 2013 (UTC)	03:05, 13 August 2013
3 Benjamin Disraeli	25 September 2013 (UTC)	22:32, 16 September 2013
4 Bobby Gibbes	25 September 2013 (UTC)	12:41, 29 August 2013
5 Roger Norreis	25 September 2013 (UTC)	18:52, 16 August 2013
6 Nintendo DSi	25 September 2013 (UTC)	14:50, 18 July 2013
7 D-Day naval deceptions	21 September 2013 (UTC)	13:53, 18 July 2013
8 Goodbyeee	21 September 2013 (UTC)	01:31, 31 July 2013
9 Talk That Talk (Rihanna song)	21 September 2013 (UTC)	09:39, 24 August 2013
10 Julianne Moore	21 September 2013 (UTC)	16:20, 25 August 2013
11 Format of Sesame Street	22 September 2013 (UTC)	17:20, 14 August 2013
12 Kellie Loder	22 September 2013 (UTC)	14:52, 14 August 2013
13 Mascarene Parrot	22 September 2013 (UTC)	14:39, 13 August 2013
14 Elgin Cathedral	22 September 2013 (UTC)	03:22, 7 August 2013
15 Love the Way You Lie	16 September 2013 (UTC)	23:38, 29 August 2013
16 Boletus calopus	16 September 2013 (UTC)	17:13, 2 August 2013
17 Stanley Bruce	16 September 2013 (UTC)	00:26, 27 July 2013
18 No. 38 Squadron RAAF	16 September 2013 (UTC)	11:19, 13 August 2013
19 Pengkhianatan G30S/PKI	16 September 2013 (UTC)	07:54, 18 August 2013
20 Kwinana Freeway	16 September 2013 (UTC)	04:03, 15 August 2013
21 Eisenhower dollar	16 September 2013 (UTC)	16:46, 12 August 2013
22 Blackwater fire of 1937	16 September 2013 (UTC)	03:59, 11 August 2013
23 Carolina Panthers	16 September 2013 (UTC)	02:46, 7 July 2013
24 Symphony No. 8 (Sibelius)	9 September 2013 (UTC)	20:32, 26 August 2013
25 Phoenix (constellation)	9 September 2013 (UTC)	21:08, 18 August 2013
26 How a Mosquito Operates	9 September 2013 (UTC)	13:29, 17 August 2013
27 Grace Sherwood	9 September 2013 (UTC)	21:46, 16 August 2013
28 Whaam!	9 September 2013 (UTC)	17:37, 13 August 2013
29 Atlantic Puffin	9 September 2013 (UTC)	06:06, 9 August 2013
30 Hurricane Diane	9 September 2013 (UTC)	18:40, 3 August 2013
31 Ambohimanga	9 September 2013 (UTC)	06:53, 29 July 2013
32 Tintin in the Congo	8 September 2013 (UTC)	14:37, 2 August 2013
33 SMS Posen	8 September 2013 (UTC)	16:18, 31 July 2013
34 Throffer	8 September 2013 (UTC)	17:24, 14 July 2013
35 George S. Patton	8 September 2013 (UTC)	19:53, 8 July 2013
/August 2013
1 Lanny McDonald	31 August 2013 (UTC)	02:16, 27 July 2013
2 Tosa-class battleship	31 August 2013 (UTC)	Sturmvogel_66, Parsecboy, and The
3 Peasants' Revolt	31 August 2013 (UTC)	10:38, 3 August 2013
4 No. 2 Operational Conversion Unit RAAF	31 August 2013 (UTC)	12:01, 30 July 2013
5 Pacific Swift	24 August 2013 (UTC)	08:17, 1 August 2013
6 Thaddeus McCotter presidential campaign, 2012	24 August 2013 (UTC)	17:41, 25 July 2013
7 Interstate 75 in Michigan	24 August 2013 (UTC)	06:26, 24 July 2013
8 Tasha Yar	25 August 2013 (UTC)	21:35, 23 July 2013
9 Ringo Starr	25 August 2013 (UTC)	23:44, 19 July 2013
10 Jo Stafford	25 August 2013 (UTC)	11:33, 19 July 2013
11 Hungarian occupation of Yugoslav territories	25 August 2013 (UTC)	09:10, 6 July 2013
12 Burger's Daughter	25 August 2013 (UTC)	09:55, 21 June 2013
13 Parity of zero	01:43, 21 August 2013	21:13, 26 June 2013
14 Mike Capel	25 August 2013 (UTC)	17:43, 21 June 2013
15 HMS Warrior (1860)	25 August 2013 (UTC)	05:14, 21 June 2013
16 The Diary of a Nobody	17 August 2013 (UTC)	18:53, 7 August 2013
17 Old Church of St Nidan, Llanidan	17 August 2013 (UTC)	14:01, 6 August 2013
18 Aleeta curvicosta	17 August 2013 (UTC)	& 99of9 (talk ·
19 Wordless novel	17 August 2013 (UTC)	22:13, 14 July 2013
20 X-Cops (The X-Files)	17 August 2013 (UTC)	15:33, 10 July 2013
21 Halo: Combat Evolved Anniversary	17 August 2013 (UTC)	19:04, 6 July 2013
22 Batman: Arkham Asylum	17 August 2013 (UTC)	20:50, 6 July 2013
23 Robert Howe (Continental Army officer)	17 August 2013 (UTC)	14:40, 2 July 2013
24 Stone Mountain Memorial half dollar	15 August 2013 (UTC)	13:48, 31 July 2013
25 Boenga Roos dari Tjikembang (novel)	15 August 2013 (UTC)	12:07, 31 July 2013
26 Battle of Hastings	15 August 2013 (UTC)	16:57, 26 July 2013
27 Quagga	15 August 2013 (UTC)	22:57, 16 July 2013
28 Diamonds (Rihanna song)	15 August 2013 (UTC)	17:56, 16 July 2013
29 A Song Flung Up to Heaven	15 August 2013 (UTC)	20:57, 14 July 2013
30 Confusion (album)	15 August 2013 (UTC)	11:00, 14 July 2013
31 Jesus	15 August 2013 (UTC)	17:13, 3 July 2013
32 S&M (song)	16:19, 13 August 2013	22:46, 21 July 2013
33 Rhodesia's Unilateral Declaration of Independence	11 August 2013 (UTC)	13:31, 21 July 2013
34 Dresden Triptych	11 August 2013 (UTC)	Nominator(s): Ceoil,
35 Hyderabad, India	11 August 2013 (UTC)	11:44, 7 July 2013
36 Starfish	11 August 2013 (UTC)	19:05, 2 July 2013
37 Pirates of the Caribbean: Armada of the Damned	11 August 2013 (UTC)	02:23, 1 July 2013
38 F.C. Porto in international club football	11 August 2013 (UTC)	16:46, 15 June 2013
